mHiggs mTop log10gamma lmin
1.214000e+02 1.738000e+02 -2.005678e+02 -2.619425e-02
1.214000e+02 1.740000e+02 -1.801760e+02 -2.745034e-02
1.214000e+02 1.742000e+02 -1.615406e+02 -2.871039e-02
1.214000e+02 1.744000e+02 -1.444442e+02 -2.997438e-02
1.214000e+02 1.746000e+02 -1.287044e+02 -3.124231e-02
1.214000e+02 1.748000e+02 -1.141660e+02 -3.251421e-02
1.214000e+02 1.750000e+02 -1.006970e+02 -3.379006e-02
1.214000e+02 1.752000e+02 -8.818370e+01 -3.507125e-02
1.214000e+02 1.754000e+02 -7.652821e+01 -3.635758e-02
1.214000e+02 1.756000e+02 -6.564541e+01 -3.764798e-02
1.214000e+02 1.758000e+02 -5.546116e+01 -3.894246e-02
1.214000e+02 1.760000e+02 -4.591041e+01 -4.024102e-02
1.214000e+02 1.762000e+02 -3.693601e+01 -4.154367e-02
1.214000e+02 1.764000e+02 -2.848746e+01 -4.285055e-02
1.214000e+02 1.766000e+02 -2.051997e+01 -4.416436e-02
1.214000e+02 1.768000e+02 -1.299373e+01 -4.548239e-02
1.214000e+02 1.770000e+02 -5.873139e+00 -4.680463e-02
1.214000e+02 1.772000e+02 8.735478e-01 -4.813109e-02
1.214000e+02 1.774000e+02 7.274868e+00 -4.946179e-02
1.214000e+02 1.776000e+02 1.335678e+01 -5.079673e-02
1.214000e+02 1.778000e+02 1.914254e+01 -5.213856e-02
1.214000e+02 1.780000e+02 2.465317e+01 -5.348548e-02
1.214000e+02 1.782000e+02 2.990778e+01 -5.483677e-02
1.214000e+02 1.784000e+02 3.492376e+01 -5.619244e-02
1.214000e+02 1.786000e+02 3.971695e+01 -5.755249e-02
1.214000e+02 1.788000e+02 4.430183e+01 -5.891695e-02
1.214000e+02 1.790000e+02 4.869165e+01 -6.028810e-02
1.214000e+02 1.792000e+02 5.289858e+01 -6.166525e-02
1.214000e+02 1.794000e+02 5.693377e+01 -6.304693e-02
1.214000e+02 1.796000e+02 6.080750e+01 -6.443315e-02
1.214000e+02 1.798000e+02 6.452925e+01 -6.582394e-02
1.214000e+02 1.800000e+02 6.810777e+01 -6.721930e-02
1.216000e+02 1.700000e+02 -5.084340e+03 -2.503861e-03
1.216000e+02 1.702000e+02 -3.201727e+03 -3.688247e-03
1.216000e+02 1.704000e+02 -2.295595e+03 -4.876380e-03
